system_module_id,system_module_slug,system_module_name,system_module_group_key,system_module_order,system_module_deleted_at
1,"employees","Empleados","empresa",10,""
2,"departments","Departamentos","empresa",20,""
3,"positions","Puestos","empresa",30,""
4,"vacations","Periodos Vacacionales","configuraciones",40,""
5,"users","Usuarios","empresa",50,""
6,"departments-attendance-monitor","Asistencia por departamento","reportes",60,""
7,"employees-attendance-monitor","Asistencia por empleados","reportes",70,""
8,"roles-and-permissions","Roles y permisos","configuraciones",80,""
12,"shifts","Turnos","configuraciones",120,""
13,"holidays","Festividades","calendarios",130,""
14,"system-settings","Ajustes Generales","configuraciones",140,""
19,"documents-expiration-matrix","Matriz de vencimientos","reportes",190,""
21,"proceeding-file-types","Proceeding File Type","otros",210,""
22,"shift-exception-requests","Shift Exception Requests","otros",220,""
25,"organization-chart","Organigrama","empresa",250,""
26,"birthdays-calendar","Cumpleaños","calendarios",260,""
27,"vacations-calendar","Vacaciones","calendarios",270,""
28,"work-anniversaries-calendar","Aniversarios","calendarios",280,""
29,"supplies","Activos","empresa",290,""
30,"zonas","Zonas","configuraciones",300,""
31,"permissions-history","Historial de permisos","reportes",310,""
32,"avisos-y-noticias","Avisos y noticias","empresa",320,""
33,"puntos-de-acceso","Puntos de acceso","zksync",330,""
34,"sucursales","Sucursales","empresa",340,""
35,"assessment-templates","Evaluaciones","empresa",350,""
36,"certifications","Catálogo de certificaciones","empresa",360,""
37,"employee-lactation-periods","Periodos de lactancia","empresa",370,""
38,"repse-registrations","Repse","empresa",380,""
39,"working-time-overrides","Overrides de jornada","configuraciones",390,""
40,"traumatic-event-reports","Eventos traumáticos","nom-035",400,""
41,"traumatic-event-reports-registry","Registro auditable","nom-035",410,""
42,"compliance","Aplicabilidad","nom-035",420,""
43,"retention-policy","Política de retención","nom-035",430,""
44,"attention-program","Programa de atención","nom-035",440,""
45,"nom035-disclosure","Resultados por centro de trabajo","nom-035",450,""
46,"sensitive-data-access-log","Bitácora de accesos a datos sensibles","nom-035",460,""
47,"telework-policy","Política de Teletrabajo","nom-037",470,""
48,"reform-simulation","Simulador reforma 40h","configuraciones",480,""
49,"repse-providers","Proveedores REPSE","",490,""
50,"regulatory-coverage","Cobertura regulatoria","plataforma",500,""
51,"employee-offboardings","Salidas de personal","empresa",510,""
